CPR;FIRSTNAME;LASTNAME;STREETNAME;STREETNUMBER;CIVIC;CITY;ZIPCODE;COUNTRY
1111520041;LEAH;JEREMIAH;WAVENEY CLOSE;78;6371;Norfolk;13990;USA
1111530042;LEILA;JEREMY;BEACH ROAD;64;323;Norfolk;11673;USA
1111540043;LENA;JERMAINE;LUGGER YARD;92;9164;Norfolk;15726;USA
1111550044;LEORA;JESSE;MARKET LANE;78;7043;Norfolk;14046;USA
1111560045;LIA;JOEL;THE ESPLANADE;78;4586;Norfolk;12527;USA
1111570046;LIANA;JOHN;THE BOULEVARD;8;3305;Norfolk;15460;USA
1111580047;LIBA;JONATHAN;THE BOULEVARD;64;2808;Norfolk;14613;USA
1111590048;LIBBY;JORDAN;ST NICHOLAS PLACE;64;6798;Norfolk;17098;USA
1111600049;LILA;JOSEPH;ST NICHOLAS PLACE;8;1765;Norfolk;10952;USA
1111610050;LILAH;JOSHUA;ST NICHOLAS PLACE;36;4838;Norfolk;11792;USA
1111620051;LILIANA;JOSIAH;NORTH STREET;78;1919;Norfolk;11316;USA
1111630052;LILLIAN;SHAINA;SOUTH STREET;43;3844;Norfolk;17889;USA
1111640053;LILLY;JUSTICE;MONTAGUE ROAD;92;8891;Norfolk;13696;USA
1111650054;LILY;JUSTIN;AUGUSTA STREET;43;8219;Norfolk;17742;USA
1111660055;LINA;KADEN;MORRIS STREET;92;1947;Norfolk;14949;USA
1111670056;LOLA;KAI;MORRIS STREET;71;1128;Norfolk;10056;USA
1111680057;LONDON;KAIDEN;THE DRIFTWAY;8;9199;Norfolk;16433;USA
1111690058;Jariel;KALEB;VICTORIA STREET;22;3809;Norfolk;19485;USA
1111700059;LUCY;KAMARI;VICTORIA STREET LINK ROAD;57;7869;Norfolk;12464;USA
1111710060;LYLA;KAMERON;WEST CLIFF;92;4943;Norfolk;12002;USA
1111720061;MACKENZIE;KAYDEN;ST PETERS ROAD;50;3158;Norfolk;14802;USA
1111730062;MADELEINE;KEITH;WATERBANK ROAD;78;652;Norfolk;19338;USA
1111740063;MADELINE;KENNETH;EAST CLIFF;71;7848;Norfolk;17469;USA
1111750064;MADELYN;KEVIN;LIFEBOAT PLAIN;50;8156;Norfolk;12359;USA
1111760065;MADISON;KHALIL;GUN STREET;29;3816;Norfolk;14781;USA
1111770066;MAEVE;KING;COOPERATIVE STREET;22;6742;Norfolk;19275;USA
1111780067;MAKAYLA;KIYAN;CREMER STREET;8;7813;Norfolk;16895;USA
1111790068;MALAK;KYLE;NEW ROAD;29;5944;Norfolk;16692;USA
1111800069;MALKA;KYMANI;NEW STREET;15;8562;Norfolk;13801;USA
1111810070;MALKY;LAMAR;MELBOURNE ROAD;29;6721;Norfolk;19170;USA
1111820071;MARGARET;LANDON;GEORGE STREET;43;2472;Norfolk;16132;USA
1111830072;MARIA;LEVI;BARFORD ROAD;36;3963;Norfolk;12219;USA
1111840073;MARIAM;LIAM;BEACH ROAD;22;9094;Norfolk;11134;USA
1111850074;MARY;LOGAN;SALISBURY ROAD;71;9066;Norfolk;17931;USA
1111860075;MATILDA;LUCAS;CLIFF ROAD;15;2073;Norfolk;15845;USA
1111870076;MAYA;MAKAI;CLIFF ROAD;43;3725;Norfolk;19520;USA
1111880077;MELANIE;MALACHI;REGIS PLACE;43;4439;Norfolk;16076;USA
1111890078;MIA;MALCOLM;VINCENT ROAD;43;8275;Norfolk;19695;USA
1111900079;MICHAELA;MALIK;NELSON ROAD;78;6042;Norfolk;15264;USA
1111910080;MICHAL;MAMADOU;THE AVENUE;29;4964;Norfolk;10728;USA
1111920081;MICHELLE;MARC;AVENUE SOUTH;1;6084;Norfolk;10140;USA
1111930082;MIKAYLA;MARCUS;PRIORY ROAD;1;764;Norfolk;16356;USA
1111940083;MILA;MARQUIS;BEESTON COMMON;85;2899;Norfolk;14270;USA
1111950084;MILENA;MASON;BEESTON COMMON;8;7043;Norfolk;11533;USA
1111960085;MINDY;MATTHEW;BEESTON COMMON;1;3445;Norfolk;13234;USA
1111970086;MIRI;MAURICE;BROOK ROAD;29;9710;Norfolk;10959;USA
1111980087;MIRIAM;MEKHI;COMMON LANE;8;435;Norfolk;18638;USA
1111990088;MOLLY;MESSIAH;THE RISE;50;3809;Norfolk;10343;USA
1112000089;MORGAN;MICAH;ST JOSEPHS ROAD;64;9794;Norfolk;10518;USA
1112010090;NAOMI;MICHAEL;CREMERS DRIFT;29;981;Norfolk;15481;USA
1112020091;NATALIA;MILES;ALEXANDRA ROAD;78;4299;Norfolk;15614;USA
1112030092;NATALIE;MOHAMED;HOOKS HILL ROAD;92;3466;Norfolk;12170;USA
1112040093;NECHAMA;MOHAMMED;ABBEY ROAD;50;7771;Norfolk;13500;USA
1112050094;NICOLE;MOUSSA;VICARAGE ROAD;8;8947;Norfolk;12779;USA
1112060095;NICOLETTE;MYLES;LINKS ROAD;50;1905;Norfolk;18589;USA
1112070096;NINA;NANA;WOODLAND RISE;78;7358;Norfolk;14459;USA
1112080097;NOA;NASIR;ELM GROVE;22;9640;Norfolk;19919;USA
1112090098;NORA;NATHAN;POPLAR GROVE;43;540;Norfolk;15929;USA
1112100099;EMIL;NATHANIEL;ASH GROVE;8;2150;Norfolk;18533;USA
